ex_date,pay_date,amount
2014-11-03,2014-11-07,0.180520
2014-12-01,2014-12-05,0.179983
2014-12-24,2014-12-31,0.155544
2015-02-02,2015-02-06,0.181933
2015-03-02,2015-03-06,0.170064
2015-04-01,2015-04-08,0.174827
2015-05-01,2015-05-07,0.163235
2015-06-01,2015-06-05,0.169088
2015-07-01,2015-07-08,0.162466
2015-08-03,2015-08-07,0.164209
2015-09-01,2015-09-08,0.167105
2015-10-01,2015-10-07,0.164300
2015-11-02,2015-11-06,0.163008
2015-12-01,2015-12-07,0.165020
2015-12-24,2015-12-31,0.163574
2016-02-01,2016-02-05,0.159166
2016-03-01,2016-03-07,0.157368
2016-04-01,2016-04-07,0.168336
2016-05-02,2016-05-06,0.161170
2016-06-01,2016-06-07,0.163443
2016-07-01,2016-07-08,0.157509
2016-08-01,2016-08-05,0.158313
2016-09-01,2016-09-08,0.155452
2016-10-03,2016-10-07,0.149905
2016-11-01,2016-11-07,0.153709
2016-12-01,2016-12-07,0.149408
2016-12-22,2016-12-29,0.164725
2017-02-01,2017-02-07,0.159282
2017-03-01,2017-03-07,0.144834
2017-04-03,2017-04-07,0.158696
2017-05-01,2017-05-05,0.160289
2017-06-01,2017-06-07,0.163645
2017-07-03,2017-07-10,0.159282
2017-08-01,2017-08-07,0.165256
2017-09-01,2017-09-08,0.162455
2017-10-02,2017-10-06,0.158852
2017-11-01,2017-11-07,0.164305
2017-12-01,2017-12-07,0.159691
2017-12-21,2017-12-28,0.164141
2018-02-01,2018-02-07,0.167741
2018-03-01,2018-03-07,0.159318
2018-04-02,2018-04-06,0.175035
2018-05-01,2018-05-07,0.191181
2018-06-01,2018-06-07,0.202300
2018-07-02,2018-07-09,0.189658
2018-08-01,2018-08-07,0.199905
2018-09-04,2018-09-10,0.205728
2018-10-01,2018-10-05,0.204227
2018-11-01,2018-11-07,0.216136
2018-12-03,2018-12-07,0.212309
2018-12-18,2018-12-24,0.212602
2019-02-01,2019-02-07,0.220083
2019-03-01,2019-03-07,0.199053
2019-04-01,2019-04-05,0.217854
2019-05-01,2019-05-07,0.211512
2019-06-03,2019-06-07,0.212517
2019-07-01,2019-07-08,0.192288
2019-08-01,2019-08-07,0.193542
2019-09-03,2019-09-09,0.190273
2019-10-01,2019-10-07,0.170727
2019-11-01,2019-11-07,0.168071
2019-12-02,2019-12-06,0.160157
2019-12-19,2019-12-26,0.156406
2020-02-03,2020-02-07,0.153292
2020-03-02,2020-03-06,0.140289
2020-04-01,2020-04-07,0.144016
2020-05-01,2020-05-07,0.127983
2020-06-01,2020-06-05,0.122219
