ex_date,pay_date,amount
2014-11-03,2014-11-07,0.290003
2014-12-01,2014-12-05,0.276557
2014-12-24,2014-12-31,0.261293
2015-02-02,2015-02-06,0.279020
2015-03-02,2015-03-06,0.252090
2015-04-01,2015-04-08,0.273077
2015-05-01,2015-05-07,0.258099
2015-06-01,2015-06-05,0.264356
2015-07-01,2015-07-08,0.258167
2015-08-03,2015-08-07,0.267426
2015-09-01,2015-09-08,0.262670
2015-10-01,2015-10-07,0.256264
2015-11-02,2015-11-06,0.266597
2015-12-01,2015-12-07,0.256517
2015-12-24,2015-12-31,0.254032
2016-02-01,2016-02-05,0.241034
2016-03-01,2016-03-07,0.248399
2016-04-01,2016-04-07,0.270371
2016-05-02,2016-05-06,0.260185
2016-06-01,2016-06-07,0.267273
2016-07-01,2016-07-08,0.255179
2016-08-01,2016-08-05,0.258147
2016-09-01,2016-09-08,0.254173
2016-10-03,2016-10-07,0.247067
2016-11-01,2016-11-07,0.249860
2016-12-01,2016-12-07,0.242680
2016-12-22,2016-12-29,0.308566
2017-02-01,2017-02-07,0.259159
2017-03-01,2017-03-07,0.233877
2017-04-03,2017-04-07,0.254558
2017-05-01,2017-05-05,0.254810
2017-06-01,2017-06-07,0.262986
2017-07-03,2017-07-10,0.257638
2017-08-01,2017-08-07,0.268655
2017-09-01,2017-09-08,0.262640
2017-10-02,2017-10-06,0.252388
2017-11-01,2017-11-07,0.263073
2017-12-01,2017-12-07,0.254704
2017-12-21,2017-12-28,0.261559
2018-02-01,2018-02-07,0.254551
2018-03-01,2018-03-07,0.238982
2018-04-02,2018-04-06,0.260434
2018-05-01,2018-05-07,0.262083
2018-06-01,2018-06-07,0.280689
2018-07-02,2018-07-09,0.274940
2018-08-01,2018-08-07,0.266812
2018-09-04,2018-09-10,0.272334
2018-10-01,2018-10-05,0.260868
2018-11-01,2018-11-07,0.274697
2018-12-03,2018-12-07,0.266837
2018-12-18,2018-12-24,0.281892
2019-02-01,2019-02-07,0.274843
2019-03-01,2019-03-07,0.253291
2019-04-01,2019-04-05,0.278190
2019-05-01,2019-05-07,0.258910
2019-06-03,2019-06-07,0.269533
2019-07-01,2019-07-08,0.260162
2019-08-01,2019-08-07,0.263951
2019-09-03,2019-09-09,0.260183
2019-10-01,2019-10-07,0.250090
2019-11-01,2019-11-07,0.245638
2019-12-02,2019-12-06,0.240510
2019-12-19,2019-12-26,0.217619
2020-02-03,2020-02-07,0.241966
2020-03-02,2020-03-06,0.229242
2020-04-01,2020-04-07,0.238017
2020-05-01,2020-05-07,0.216207
2020-06-01,2020-06-05,0.210189
2020-07-01,2020-07-08,0.191656
2020-08-03,2020-08-07,0.190140
2020-09-01,2020-09-08,0.182920
2020-10-01,2020-10-07,0.169060
2020-11-02,2020-11-06,0.169451
2020-12-01,2020-12-07,0.163003
2020-12-17,2020-12-23,0.163928
2021-02-01,2021-02-05,0.175774
2021-03-01,2021-03-05,0.171726
2021-04-01,2021-04-08,0.185064
2021-05-03,2021-05-07,0.203071
2021-06-01,2021-06-07,0.199272
2021-07-01,2021-07-08,0.187502
2021-08-02,2021-08-06,0.181723
2021-09-01,2021-09-08,0.189348
2021-10-01,2021-10-07,0.183085
2021-11-01,2021-11-05,0.188215
2021-12-01,2021-12-07,0.184159
2021-12-16,2021-12-22,0.167606
2022-02-01,2022-02-07,0.198134
2022-03-01,2022-03-07,0.184723
2022-04-01,2022-04-07,0.201727
2022-05-02,2022-05-06,0.203130
2022-06-01,2022-06-07,0.207438
2022-07-01,2022-07-08,0.226939
2022-08-01,2022-08-05,0.213043
2022-09-01,2022-09-08,0.236135
2022-10-03,2022-10-07,0.244114
2022-11-01,2022-11-07,0.235637
2022-12-01,2022-12-07,0.244243
2022-12-15,2022-12-21,0.261059
2023-02-01,2023-02-07,0.275496
2023-03-01,2023-03-07,0.249766
2023-04-03,2023-04-07,0.268755
2023-05-01,2023-05-05,0.267995
2023-06-01,2023-06-07,0.273047
2023-07-03,2023-07-10,0.277716
2023-08-01,2023-08-07,0.275282
2023-09-01,2023-09-08,0.288579
2023-10-02,2023-10-06,0.280014
2023-11-01,2023-11-07,0.286291
2023-12-01,2023-12-07,0.288920
2023-12-14,2023-12-20,0.310534
2024-02-01,2024-02-07,0.310122
2024-03-01,2024-03-07,0.295234
2024-04-01,2024-04-05,0.312425
2024-05-01,2024-05-07,0.307743
2024-06-03,2024-06-07,0.308295
2024-07-01,2024-07-05,0.291104
2024-08-01,2024-08-06,0.314856
2024-09-03,2024-09-06,0.312782
2024-10-01,2024-10-04,0.315755
2024-11-01,2024-11-06,0.310541
2024-12-02,2024-12-05,0.325021
2024-12-18,2024-12-23,0.351032
2025-02-03,2025-02-06,0.312282
2025-03-03,2025-03-06,0.289817
2025-04-01,2025-04-04,0.325582
2025-05-01,2025-05-06,0.327612
2025-06-02,2025-06-05,0.319532
2025-07-01,2025-07-07,0.328301
2025-08-01,2025-08-06,0.330802
2025-09-02,2025-09-05,0.328083
2025-10-01,2025-10-06,0.310447
2025-11-03,2025-11-06,0.325125
2025-12-01,2025-12-04,0.320648
2025-12-19,2025-12-24,0.342437
2026-02-02,2026-02-05,0.331885
2026-03-02,2026-03-05,0.300633
2026-04-01,2026-04-07,0.344779
2026-05-01,2026-05-06,0.315346
2026-06-01,2026-06-04,0.335777
2026-07-01,2026-07-07,0.318030
2026-08-03,2026-08-06,0.330454
2026-09-01,2026-09-04,0.314686
