ex_date,pay_date,amount
2019-07-01,2019-07-08,0.385826
2019-08-01,2019-08-07,0.367189
2019-09-03,2019-09-09,0.370990
2019-10-01,2019-10-07,0.350020
2019-11-01,2019-11-07,0.361184
2019-12-02,2019-12-06,0.340766
2019-12-19,2019-12-26,0.314217
2020-02-03,2020-02-07,0.365827
2020-03-02,2020-03-06,0.379984
2020-04-01,2020-04-07,0.385371
2020-05-01,2020-05-07,0.368843
2020-06-01,2020-06-05,0.320565
2020-07-01,2020-07-08,0.343428
2020-08-03,2020-08-07,0.340536
2020-09-01,2020-09-08,0.340694
2020-10-01,2020-10-07,0.357399
2020-11-02,2020-11-06,0.359020
2020-12-01,2020-12-07,0.341413
2020-12-17,2020-12-23,0.359154
2021-02-01,2021-02-05,0.318240
2021-03-01,2021-03-05,0.306839
2021-04-01,2021-04-08,0.293548
2021-05-03,2021-05-07,0.293943
2021-06-01,2021-06-07,0.290930
2021-07-01,2021-07-08,0.291521
2021-08-02,2021-08-06,0.282878
2021-09-01,2021-09-08,0.275083
2021-10-01,2021-10-07,0.289453
2021-11-01,2021-11-05,0.277103
2021-12-01,2021-12-07,0.281508
2021-12-16,2021-12-22,0.296230
2022-02-01,2022-02-07,0.305381
2022-03-01,2022-03-07,0.307473
2022-04-01,2022-04-07,0.333555
2022-05-02,2022-05-06,0.305026
2022-06-01,2022-06-07,0.306921
2022-07-01,2022-07-08,0.329181
2022-08-01,2022-08-05,0.303831
2022-09-01,2022-09-08,0.366033
2022-10-03,2022-10-07,0.351031
2022-11-01,2022-11-07,0.279990
2022-12-01,2022-12-07,0.319227
2022-12-15,2022-12-21,0.396332
2023-02-01,2023-02-07,0.368494
2023-03-01,2023-03-07,0.449625
2023-04-03,2023-04-07,0.341715
2023-05-01,2023-05-05,0.325847
2023-06-01,2023-06-07,0.353057
2023-07-03,2023-07-10,0.402765
2023-08-01,2023-08-07,0.357827
2023-09-01,2023-09-08,0.350681
2023-10-02,2023-10-06,0.385176
2023-11-01,2023-11-07,0.387512
2023-12-01,2023-12-07,0.343862
2023-12-14,2023-12-20,0.378470
2024-02-01,2024-02-07,0.383831
2024-03-01,2024-03-07,0.438231
2024-04-01,2024-04-05,0.395109
2024-05-01,2024-05-07,0.399799
2024-06-03,2024-06-07,0.358103
2024-07-01,2024-07-05,0.404923
2024-08-01,2024-08-06,0.409004
2024-09-03,2024-09-06,0.379535
2024-10-01,2024-10-04,0.390290
2024-11-01,2024-11-06,0.394556
2024-12-02,2024-12-05,0.361358
2024-12-18,2024-12-23,0.409324
2025-02-03,2025-02-06,0.360138
2025-03-03,2025-03-06,0.374339
2025-04-01,2025-04-04,0.382397
2025-05-01,2025-05-06,0.401345
2025-06-02,2025-06-05,0.375571
2025-07-01,2025-07-07,0.379436
2025-08-01,2025-08-06,0.404487
2025-09-02,2025-09-05,0.383321
2025-10-01,2025-10-06,0.381299
2025-11-03,2025-11-06,0.409763
2025-12-01,2025-12-04,0.374767
2025-12-19,2025-12-24,0.380624
2026-02-02,2026-02-05,0.398688
2026-03-02,2026-03-05,0.393736
2026-04-01,2026-04-07,0.383731
2026-05-01,2026-05-06,0.418714
2026-06-01,2026-06-04,0.408967
2026-07-01,2026-07-07,0.368791
2026-08-03,2026-08-06,0.384289
2026-09-01,2026-09-04,0.435025
